
节点编号id,节点类别编号type,节点描述describe,长l,宽w,,容量cap,流量限制flim,速度限制vlim,"父子节点辨识（父节点2，子节点1，无父节点的节点0,  3无父节点容量限制子节点）",容量cap,
0,16,0,0,0,0,0,0,0,0,0,
1,0,10号线东站厅,41.41,8,331.28,2209,1.5,1.2,2,1656,
2,0,10号线西站厅,41.41,11.55,478.2855,3189,1.5,1.2,2,2391,
3,2,10号线站厅东到西通道,52.8,4,211.2,1408,1.5,1.2,1,1056,
4,2,10号线站厅西到东通道,52.8,4,211.2,1408,1.5,1.2,1,1056,
444,2,10号线站厅西到东通道,52.8,4,211.2,1408,1.5,1.2,1,1056,
5,1,10号线开往金台夕照方向站台,20,7.5,840,5600,1.5,1,2,4200,
6,1,10号线开往双井方向站台,20,7.7,862.4,5749,1.5,1,2,4312,
7,2,10号线站台通道a,52.8,5.6,295.68,1971,1.5,1.2,2,1478,
8,2,10号线站台通道b,52.8,4,211.2,1408,1.5,1.2,2,1056,
9,12,10号线楼梯1下行,12.3,1.6,19.68,98.4,1.5,1.5,1,63,
10,12,10号线楼梯2下行,12.3,2,24.6,123,1.5,1.5,1,79,
11,12,10号线楼梯3下行,12.3,1.6,19.68,98.4,1.5,1.5,1,63,
12,12,10号线楼梯4下行,12.3,1.6,19.68,98.4,1.5,1.5,1,63,
13,12,10号线楼梯5下行,12.3,2,24.6,123,1.5,1.5,1,79,
14,12,10号线楼梯6下行,12.3,1.6,19.68,98.4,1.5,1.5,1,63,
15,11,10号线楼梯1上行,12.3,1.6,19.68,98.4,1.5,1,1,63,
16,11,10号线楼梯2上行,12.3,2,24.6,123,1.5,1,1,79,
17,11,10号线楼梯3上行,12.3,1.6,19.68,98.4,1.5,1,1,63,
18,11,10号线楼梯4上行,12.3,1.6,19.68,98.4,1.5,1,1,63,
19,11,10号线楼梯5上行,12.3,2,24.6,123,1.5,1,1,79,
20,11,10号线楼梯6上行,12.3,1.6,19.68,98.4,1.5,1,1,98,
21,4,10号线扶梯1上行,12.3,0.875,10.7625,25,1.5,0.75,0,25,
22,4,10号线扶梯3上行,12.3,0.875,10.7625,25,1.5,0.75,0,25,
23,4,10号线扶梯4上行,12.3,0.875,10.7625,25,1.5,0.75,0,25,
